date,SPY,QQQ,GLD,TIP,BIL
1987-01-19,12.7574,3.6295,45.5184,17.7735,30.2506
1987-01-20,12.7432,3.6309,44.817,17.7859,30.2569
1987-01-21,12.6863,3.5816,43.8947,17.7983,30.2631
1987-01-22,12.9737,3.6619,44.2443,17.8107,30.2694
1987-01-23,12.7932,3.6361,43.1172,17.8231,30.2756
1987-01-26,12.77,3.5789,43.7633,17.8355,30.2819
1987-01-27,12.966,3.6337,44.3555,17.8479,30.2881
1987-01-28,13.0441,3.6548,44.5973,17.8603,30.2944
1987-01-29,12.9891,3.6137,44.1601,17.8728,30.3007
1987-01-30,12.9815,3.634,43.1678,17.8852,30.3069
1987-02-02,13.0937,3.7132,43.8408,17.8977,30.3132
1987-02-03,13.0719,3.7404,43.5437,17.9016,30.3199
1987-02-04,13.2447,3.7828,43.4137,17.9054,30.3266
1987-02-05,13.3166,3.8075,42.9927,17.9093,30.3333
1987-02-06,13.2636,3.8073,43.3908,17.9132,30.34
1987-02-09,13.1745,3.7854,43.7458,17.9171,30.3467
1987-02-10,13.0281,3.757,43.4165,17.9209,30.3535
1987-02-11,13.145,3.8367,43.432,17.9248,30.3602
1987-02-12,13.054,3.8429,43.3559,17.9287,30.3669
1987-02-13,13.2472,3.9039,42.8217,17.9326,30.3736
1987-02-16,13.2472,3.9039,42.8103,17.9364,30.3803
1987-02-17,13.5213,4.0038,42.8097,17.9403,30.3871
1987-02-18,13.518,3.9506,42.0277,17.9442,30.3938
1987-02-19,13.525,3.9213,42.3881,17.9481,30.4005
1987-02-20,13.5207,3.8955,43.0771,17.952,30.4073
1987-02-23,13.3738,3.8741,43.4482,17.9559,30.414
1987-02-24,13.3975,3.901,43.0273,17.9597,30.4207
1987-02-25,13.4505,3.9452,43.7271,17.9636,30.4275
1987-02-26,13.4012,3.9716,43.5432,17.9675,30.4342
1987-02-27,13.4598,3.9839,43.7311,17.9714,30.4409
1987-03-02,13.403,3.9472,43.558,17.9753,30.4477
